timestamp,humidity,context_humidity,date (Asia/Kolkata)
1694598301839,44.0,{},2023-09-13 15:15:01.839000+05:30
1694597919802,45.0,{},2023-09-13 15:08:39.802000+05:30
1694597537766,47.0,{},2023-09-13 15:02:17.766000+05:30
1694597155830,50.0,{},2023-09-13 14:55:55.830000+05:30
1694596773972,50.0,{},2023-09-13 14:49:33.972000+05:30
1694596392207,50.0,{},2023-09-13 14:43:12.207000+05:30
1694596010356,48.0,{},2023-09-13 14:36:50.356000+05:30
1694595628492,47.0,{},2023-09-13 14:30:28.492000+05:30
1694595246699,47.0,{},2023-09-13 14:24:06.699000+05:30
1694594864786,47.0,{},2023-09-13 14:17:44.786000+05:30
1694594482946,47.0,{},2023-09-13 14:11:22.946000+05:30
1694594101714,45.0,{},2023-09-13 14:05:01.714000+05:30
1694593720403,45.0,{},2023-09-13 13:58:40.403000+05:30
1694593339003,47.0,{},2023-09-13 13:52:19.003000+05:30
1694592957611,49.0,{},2023-09-13 13:45:57.611000+05:30
1694592575726,50.0,{},2023-09-13 13:39:35.726000+05:30
1694592194395,52.0,{},2023-09-13 13:33:14.395000+05:30
1694591812633,52.0,{},2023-09-13 13:26:52.633000+05:30
1694591430956,51.0,{},2023-09-13 13:20:30.956000+05:30
1694591049241,54.0,{},2023-09-13 13:14:09.241000+05:30
1694590667493,53.0,{},2023-09-13 13:07:47.493000+05:30
1694590285743,58.0,{},2023-09-13 13:01:25.743000+05:30
1694589904123,56.0,{},2023-09-13 12:55:04.123000+05:30
1694589522542,58.0,{},2023-09-13 12:48:42.542000+05:30
1694589140790,58.0,{},2023-09-13 12:42:20.790000+05:30
1694588759713,60.0,{},2023-09-13 12:35:59.713000+05:30
1694588378639,59.0,{},2023-09-13 12:29:38.639000+05:30
1694587997471,62.0,{},2023-09-13 12:23:17.471000+05:30
1694587615866,60.0,{},2023-09-13 12:16:55.866000+05:30
1694587234311,62.0,{},2023-09-13 12:10:34.311000+05:30
1694586853934,65.0,{},2023-09-13 12:04:13.934000+05:30
1694586472018,68.0,{},2023-09-13 11:57:52.018000+05:30
1694586090466,69.0,{},2023-09-13 11:51:30.466000+05:30
1694585709394,70.0,{},2023-09-13 11:45:09.394000+05:30
1694585328609,70.0,{},2023-09-13 11:38:48.609000+05:30
1694584946836,71.0,{},2023-09-13 11:32:26.836000+05:30
1694584565716,70.0,{},2023-09-13 11:26:05.716000+05:30
1694584184613,72.0,{},2023-09-13 11:19:44.613000+05:30
1694583803638,73.0,{},2023-09-13 11:13:23.638000+05:30
1694583422699,73.0,{},2023-09-13 11:07:02.699000+05:30
1694583041079,73.0,{},2023-09-13 11:00:41.079000+05:30
1694582660579,76.0,{},2023-09-13 10:54:20.579000+05:30
1694582278529,78.0,{},2023-09-13 10:47:58.529000+05:30
1694581516379,80.0,{},2023-09-13 10:35:16.379000+05:30
1694581135201,78.0,{},2023-09-13 10:28:55.201000+05:30
1694580754075,76.0,{},2023-09-13 10:22:34.075000+05:30
1694580372510,77.0,{},2023-09-13 10:16:12.510000+05:30
1694578847419,86.0,{},2023-09-13 09:50:47.419000+05:30
1694541535959,95.0,{},2023-09-12 23:28:55.959000+05:30
1694540392836,95.0,{},2023-09-12 23:09:52.836000+05:30
1694535821782,92.0,{},2023-09-12 21:53:41.782000+05:30
1694535441514,90.0,{},2023-09-12 21:47:21.514000+05:30
1694534677306,90.0,{},2023-09-12 21:34:37.306000+05:30
1694534298674,91.0,{},2023-09-12 21:28:18.674000+05:30
1694533915532,91.0,{},2023-09-12 21:21:55.532000+05:30
1694533534641,90.0,{},2023-09-12 21:15:34.641000+05:30
1694533153742,90.0,{},2023-09-12 21:09:13.742000+05:30
1694532772877,89.0,{},2023-09-12 21:02:52.877000+05:30
1694532391921,89.0,{},2023-09-12 20:56:31.921000+05:30
1694532011181,88.0,{},2023-09-12 20:50:11.181000+05:30
1694531630432,88.0,{},2023-09-12 20:43:50.432000+05:30
1694531249113,87.0,{},2023-09-12 20:37:29.113000+05:30
1694530868169,87.0,{},2023-09-12 20:31:08.169000+05:30
1694530487242,87.0,{},2023-09-12 20:24:47.242000+05:30
1694530106242,84.0,{},2023-09-12 20:18:26.242000+05:30
1694529725186,83.0,{},2023-09-12 20:12:05.186000+05:30
1694529344181,82.0,{},2023-09-12 20:05:44.181000+05:30
1694528962843,80.0,{},2023-09-12 19:59:22.843000+05:30
1694528581807,78.0,{},2023-09-12 19:53:01.807000+05:30
1694528200797,76.0,{},2023-09-12 19:46:40.797000+05:30
1694527819719,74.0,{},2023-09-12 19:40:19.719000+05:30
1694527438694,73.0,{},2023-09-12 19:33:58.694000+05:30
1694527057631,71.0,{},2023-09-12 19:27:37.631000+05:30
1694526676777,71.0,{},2023-09-12 19:21:16.777000+05:30
1694526295472,70.0,{},2023-09-12 19:14:55.472000+05:30
1694525914582,69.0,{},2023-09-12 19:08:34.582000+05:30
1694525152398,67.0,{},2023-09-12 18:55:52.398000+05:30
1694524770511,66.0,{},2023-09-12 18:49:30.511000+05:30
1694524007566,65.0,{},2023-09-12 18:36:47.566000+05:30
1694523626369,65.0,{},2023-09-12 18:30:26.369000+05:30
1694523244688,64.0,{},2023-09-12 18:24:04.688000+05:30
1694522863462,63.0,{},2023-09-12 18:17:43.462000+05:30
1694522482353,64.0,{},2023-09-12 18:11:22.353000+05:30
1694522101017,63.0,{},2023-09-12 18:05:01.017000+05:30
1694521719818,62.0,{},2023-09-12 17:58:39.818000+05:30
1694513870530,59.0,{},2023-09-12 15:47:50.530000+05:30
1694513487029,0.0,{},2023-09-12 15:41:27.029000+05:30
1694513105515,56.0,{},2023-09-12 15:35:05.515000+05:30
1694512724067,54.0,{},2023-09-12 15:28:44.067000+05:30
1694512342617,54.0,{},2023-09-12 15:22:22.617000+05:30
1694508908086,48.0,{},2023-09-12 14:25:08.086000+05:30
1694508526445,47.0,{},2023-09-12 14:18:46.445000+05:30
1694508144770,48.0,{},2023-09-12 14:12:24.770000+05:30
1694507763163,49.0,{},2023-09-12 14:06:03.163000+05:30
1694507381600,51.0,{},2023-09-12 13:59:41.600000+05:30
1694507000063,53.0,{},2023-09-12 13:53:20.063000+05:30
1694506618685,53.0,{},2023-09-12 13:46:58.685000+05:30
1694496713507,64.0,{},2023-09-12 11:01:53.507000+05:30
1694496332209,64.0,{},2023-09-12 10:55:32.209000+05:30
1694495950690,63.0,{},2023-09-12 10:49:10.690000+05:30
1694495569527,62.0,{},2023-09-12 10:42:49.527000+05:30
1694494425857,68.0,{},2023-09-12 10:23:45.857000+05:30
1694494044980,69.0,{},2023-09-12 10:17:24.980000+05:30
1694493664747,71.0,{},2023-09-12 10:11:04.747000+05:30
1694493282834,0.0,{},2023-09-12 10:04:42.834000+05:30
1694492139988,80.0,{},2023-09-12 09:45:39.988000+05:30
1694491758902,80.0,{},2023-09-12 09:39:18.902000+05:30
