timestamp,pond-temperature,context_pond-temperature,date
1640246085141,21.5,{},2021-12-23 13:24:45.141000+05:30
1640245712816,21.38,{},2021-12-23 13:18:32.816000+05:30
1640245340497,21.19,{},2021-12-23 13:12:20.497000+05:30
1640244970135,21.0,{},2021-12-23 13:06:10.135000+05:30
1640244595984,20.94,{},2021-12-23 12:59:55.984000+05:30
1640244223772,20.88,{},2021-12-23 12:53:43.772000+05:30
1640243851564,20.81,{},2021-12-23 12:47:31.564000+05:30
1640243479454,20.75,{},2021-12-23 12:41:19.454000+05:30
1640243107382,20.63,{},2021-12-23 12:35:07.382000+05:30
1640241849193,20.38,{},2021-12-23 12:14:09.193000+05:30
1640241477148,20.31,{},2021-12-23 12:07:57.148000+05:30
1640241105125,20.25,{},2021-12-23 12:01:45.125000+05:30
1640240733054,20.13,{},2021-12-23 11:55:33.054000+05:30
1640240361064,20.13,{},2021-12-23 11:49:21.064000+05:30
1640239989147,20.13,{},2021-12-23 11:43:09.147000+05:30
1640239617247,20.06,{},2021-12-23 11:36:57.247000+05:30
1640239245369,20.13,{},2021-12-23 11:30:45.369000+05:30
1640238873493,20.0,{},2021-12-23 11:24:33.493000+05:30
1640238501681,20.0,{},2021-12-23 11:18:21.681000+05:30
1640238129915,19.88,{},2021-12-23 11:12:09.915000+05:30
1640237758184,19.88,{},2021-12-23 11:05:58.184000+05:30
1640237386511,19.81,{},2021-12-23 10:59:46.511000+05:30
1640237014899,19.81,{},2021-12-23 10:53:34.899000+05:30
1640236643267,19.75,{},2021-12-23 10:47:23.267000+05:30
1640236271697,19.75,{},2021-12-23 10:41:11.697000+05:30
1640235900173,19.75,{},2021-12-23 10:35:00.173000+05:30
1640235528689,19.75,{},2021-12-23 10:28:48.689000+05:30
1640235157233,19.69,{},2021-12-23 10:22:37.233000+05:30
1640234786796,19.75,{},2021-12-23 10:16:26.796000+05:30
1640234414435,19.63,{},2021-12-23 10:10:14.435000+05:30
1640234043082,19.69,{},2021-12-23 10:04:03.082000+05:30
1640233671775,19.69,{},2021-12-23 09:57:51.775000+05:30
1640233300500,19.63,{},2021-12-23 09:51:40.500000+05:30
1640232929262,19.56,{},2021-12-23 09:45:29.262000+05:30
