timestamp,current,context_current,date (Asia/Kolkata)
1665092252908,0.604,{},2022-10-07 03:07:32.908000+05:30
1665092191056,0.609,{},2022-10-07 03:06:31.056000+05:30
1665092129189,0.614,{},2022-10-07 03:05:29.189000+05:30
1665092067228,0.611,{},2022-10-07 03:04:27.228000+05:30
1665092005284,0.612,{},2022-10-07 03:03:25.284000+05:30
1665091943303,0.626,{},2022-10-07 03:02:23.303000+05:30
1665091881344,0.622,{},2022-10-07 03:01:21.344000+05:30
1665091819441,0.622,{},2022-10-07 03:00:19.441000+05:30
1665091757495,0.608,{},2022-10-07 02:59:17.495000+05:30
1665091695591,0.624,{},2022-10-07 02:58:15.591000+05:30
1665091633732,0.62,{},2022-10-07 02:57:13.732000+05:30
1665091510028,0.62,{},2022-10-07 02:55:10.028000+05:30
1665091448219,0.487,{},2022-10-07 02:54:08.219000+05:30
1665091386359,0.479,{},2022-10-07 02:53:06.359000+05:30
1665091324511,0.49,{},2022-10-07 02:52:04.511000+05:30
1665091262616,0.472,{},2022-10-07 02:51:02.616000+05:30
1665091200726,0.485,{},2022-10-07 02:50:00.726000+05:30
1665091138872,0.485,{},2022-10-07 02:48:58.872000+05:30
1665091076980,0.476,{},2022-10-07 02:47:56.980000+05:30
1665091015081,0.476,{},2022-10-07 02:46:55.081000+05:30
1665090953130,0.474,{},2022-10-07 02:45:53.130000+05:30
1665090891190,0.485,{},2022-10-07 02:44:51.190000+05:30
1665090829265,0.479,{},2022-10-07 02:43:49.265000+05:30
1665090767278,0.483,{},2022-10-07 02:42:47.278000+05:30
1665090705323,0.487,{},2022-10-07 02:41:45.323000+05:30
1665090643370,0.49,{},2022-10-07 02:40:43.370000+05:30
1665090581432,0.482,{},2022-10-07 02:39:41.432000+05:30
1665090519463,0.467,{},2022-10-07 02:38:39.463000+05:30
1665090457523,0.487,{},2022-10-07 02:37:37.523000+05:30
1665090395550,0.477,{},2022-10-07 02:36:35.550000+05:30
1665090333631,0.488,{},2022-10-07 02:35:33.631000+05:30
1665090271718,0.47,{},2022-10-07 02:34:31.718000+05:30
1665090209828,0.479,{},2022-10-07 02:33:29.828000+05:30
1665090147951,0.483,{},2022-10-07 02:32:27.951000+05:30
1665090086016,0.484,{},2022-10-07 02:31:26.016000+05:30
1665090024097,0.476,{},2022-10-07 02:30:24.097000+05:30
1665089962170,0.48,{},2022-10-07 02:29:22.170000+05:30
1665089900281,0.479,{},2022-10-07 02:28:20.281000+05:30
1665089838388,0.472,{},2022-10-07 02:27:18.388000+05:30
1665089776550,0.477,{},2022-10-07 02:26:16.550000+05:30
1665089714624,0.482,{},2022-10-07 02:25:14.624000+05:30
1665089652722,0.477,{},2022-10-07 02:24:12.722000+05:30
1665089590811,0.475,{},2022-10-07 02:23:10.811000+05:30
1665089528857,0.482,{},2022-10-07 02:22:08.857000+05:30
1665089466964,0.478,{},2022-10-07 02:21:06.964000+05:30
1665089405065,0.461,{},2022-10-07 02:20:05.065000+05:30
1665089343119,0.481,{},2022-10-07 02:19:03.119000+05:30
1665089281207,0.485,{},2022-10-07 02:18:01.207000+05:30
1665089219294,0.478,{},2022-10-07 02:16:59.294000+05:30
1665089157376,0.474,{},2022-10-07 02:15:57.376000+05:30
1665089095490,0.477,{},2022-10-07 02:14:55.490000+05:30
1665089033626,0.464,{},2022-10-07 02:13:53.626000+05:30
1665088971751,0.48,{},2022-10-07 02:12:51.751000+05:30
1665088909879,0.473,{},2022-10-07 02:11:49.879000+05:30
1665088847977,0.452,{},2022-10-07 02:10:47.977000+05:30
1665088786092,0.48,{},2022-10-07 02:09:46.092000+05:30
1665088724182,0.478,{},2022-10-07 02:08:44.182000+05:30
1665088662248,0.599,{},2022-10-07 02:07:42.248000+05:30
1665088600346,0.597,{},2022-10-07 02:06:40.346000+05:30
1665088538440,0.608,{},2022-10-07 02:05:38.440000+05:30
1665088476540,0.592,{},2022-10-07 02:04:36.540000+05:30
1665088414676,0.599,{},2022-10-07 02:03:34.676000+05:30
1665088352821,0.596,{},2022-10-07 02:02:32.821000+05:30
1665088290925,0.604,{},2022-10-07 02:01:30.925000+05:30
1665088228989,0.591,{},2022-10-07 02:00:28.989000+05:30
1665088167119,0.596,{},2022-10-07 01:59:27.119000+05:30
1665088105175,0.597,{},2022-10-07 01:58:25.175000+05:30
1665088043233,0.591,{},2022-10-07 01:57:23.233000+05:30
1665087981308,0.597,{},2022-10-07 01:56:21.308000+05:30
1665087919350,0.597,{},2022-10-07 01:55:19.350000+05:30
1665087857436,0.595,{},2022-10-07 01:54:17.436000+05:30
1665087795522,0.602,{},2022-10-07 01:53:15.522000+05:30
1665087733605,0.595,{},2022-10-07 01:52:13.605000+05:30
1665087671697,0.606,{},2022-10-07 01:51:11.697000+05:30
1665087609812,0.599,{},2022-10-07 01:50:09.812000+05:30
1665087547939,0.598,{},2022-10-07 01:49:07.939000+05:30
1665087486065,0.598,{},2022-10-07 01:48:06.065000+05:30
1665087362275,0.615,{},2022-10-07 01:46:02.275000+05:30
1665087300330,0.603,{},2022-10-07 01:45:00.330000+05:30
1665087238421,0.597,{},2022-10-07 01:43:58.421000+05:30
1665087192961,0.599,{},2022-10-07 01:43:12.961000+05:30
1665087114651,0.606,{},2022-10-07 01:41:54.651000+05:30
1665087052728,0.598,{},2022-10-07 01:40:52.728000+05:30
1665086990851,0.598,{},2022-10-07 01:39:50.851000+05:30
1665086928965,0.606,{},2022-10-07 01:38:48.965000+05:30
1665086867079,0.602,{},2022-10-07 01:37:47.079000+05:30
1665086805163,0.586,{},2022-10-07 01:36:45.163000+05:30
1665086743265,0.602,{},2022-10-07 01:35:43.265000+05:30
1665086681352,0.604,{},2022-10-07 01:34:41.352000+05:30
1665086619411,0.611,{},2022-10-07 01:33:39.411000+05:30
1665086557468,0.601,{},2022-10-07 01:32:37.468000+05:30
1665086495508,0.612,{},2022-10-07 01:31:35.508000+05:30
