timestamp,temperature,context_temperature,date (Asia/Kolkata)
1694338833657,32.5,{},2023-09-10 15:10:33.657000+05:30
1694338449945,32.599998,{},2023-09-10 15:04:09.945000+05:30
1694338068157,32.5,{},2023-09-10 14:57:48.157000+05:30
1694337686090,32.700001,{},2023-09-10 14:51:26.090000+05:30
1694337304180,32.900002,{},2023-09-10 14:45:04.180000+05:30
1694336922256,32.5,{},2023-09-10 14:38:42.256000+05:30
1694336540379,32.0,{},2023-09-10 14:32:20.379000+05:30
1694336158542,31.9,{},2023-09-10 14:25:58.542000+05:30
1694335776736,32.099998,{},2023-09-10 14:19:36.736000+05:30
1694335394921,32.0,{},2023-09-10 14:13:14.921000+05:30
1694335013210,32.0,{},2023-09-10 14:06:53.210000+05:30
1694334631491,32.299999,{},2023-09-10 14:00:31.491000+05:30
1694334251431,32.5,{},2023-09-10 13:54:11.431000+05:30
1694333867584,32.400002,{},2023-09-10 13:47:47.584000+05:30
1694333485735,32.5,{},2023-09-10 13:41:25.735000+05:30
1694333103774,32.099998,{},2023-09-10 13:35:03.774000+05:30
1694332721954,31.6,{},2023-09-10 13:28:41.954000+05:30
1694332340175,31.200001,{},2023-09-10 13:22:20.175000+05:30
1694331958412,31.1,{},2023-09-10 13:15:58.412000+05:30
1694331576894,30.799999,{},2023-09-10 13:09:36.894000+05:30
1694331195170,31.0,{},2023-09-10 13:03:15.170000+05:30
1694330813431,31.0,{},2023-09-10 12:56:53.431000+05:30
1694330431919,30.799999,{},2023-09-10 12:50:31.919000+05:30
1694330050089,30.799999,{},2023-09-10 12:44:10.089000+05:30
1694329668330,30.6,{},2023-09-10 12:37:48.330000+05:30
1694329286559,30.6,{},2023-09-10 12:31:26.559000+05:30
1694325851391,31.0,{},2023-09-10 11:34:11.391000+05:30
1694325469577,0.0,{},2023-09-10 11:27:49.577000+05:30
1694093811751,27.200001,{},2023-09-07 19:06:51.751000+05:30
1694093428096,27.200001,{},2023-09-07 19:00:28.096000+05:30
1694093046185,27.299999,{},2023-09-07 18:54:06.185000+05:30
1694092666213,27.299999,{},2023-09-07 18:47:46.213000+05:30
1694092283259,27.5,{},2023-09-07 18:41:23.259000+05:30
1694091902084,27.5,{},2023-09-07 18:35:02.084000+05:30
1694091520742,27.5,{},2023-09-07 18:28:40.742000+05:30
1694091138859,27.5,{},2023-09-07 18:22:18.859000+05:30
1694090758150,27.700001,{},2023-09-07 18:15:58.150000+05:30
1694090375847,27.799999,{},2023-09-07 18:09:35.847000+05:30
1694089994561,27.700001,{},2023-09-07 18:03:14.561000+05:30
1694089612888,27.6,{},2023-09-07 17:56:52.888000+05:30
1694089231488,27.700001,{},2023-09-07 17:50:31.488000+05:30
1694088849811,27.700001,{},2023-09-07 17:44:09.811000+05:30
1694088468319,27.799999,{},2023-09-07 17:37:48.319000+05:30
1694088086819,27.799999,{},2023-09-07 17:31:26.819000+05:30
1694087705301,27.799999,{},2023-09-07 17:25:05.301000+05:30
1694087323938,28.1,{},2023-09-07 17:18:43.938000+05:30
1694086942306,28.4,{},2023-09-07 17:12:22.306000+05:30
1694086560734,28.4,{},2023-09-07 17:06:00.734000+05:30
1694086179129,28.6,{},2023-09-07 16:59:39.129000+05:30
1694085797576,28.5,{},2023-09-07 16:53:17.576000+05:30
1694085415922,28.700001,{},2023-09-07 16:46:55.922000+05:30
1694085034328,28.700001,{},2023-09-07 16:40:34.328000+05:30
1694084652723,28.700001,{},2023-09-07 16:34:12.723000+05:30
1694084271077,28.700001,{},2023-09-07 16:27:51.077000+05:30
1694083889459,28.5,{},2023-09-07 16:21:29.459000+05:30
1694083507873,28.6,{},2023-09-07 16:15:07.873000+05:30
1694083126180,28.799999,{},2023-09-07 16:08:46.180000+05:30
1694082744550,28.700001,{},2023-09-07 16:02:24.550000+05:30
1694082362933,28.700001,{},2023-09-07 15:56:02.933000+05:30
1694081981433,28.700001,{},2023-09-07 15:49:41.433000+05:30
1694081600284,28.799999,{},2023-09-07 15:43:20.284000+05:30
1694081218013,28.9,{},2023-09-07 15:36:58.013000+05:30
1694080836378,28.799999,{},2023-09-07 15:30:36.378000+05:30
1694080454733,29.0,{},2023-09-07 15:24:14.733000+05:30
1694080073012,0.0,{},2023-09-07 15:17:53.012000+05:30
1693849930840,29.299999,{},2023-09-04 23:22:10.840000+05:30
1693849549160,29.200001,{},2023-09-04 23:15:49.160000+05:30
1693849167505,29.299999,{},2023-09-04 23:09:27.505000+05:30
1693848785882,29.299999,{},2023-09-04 23:03:05.882000+05:30
1693848404176,29.299999,{},2023-09-04 22:56:44.176000+05:30
1693848022428,29.4,{},2023-09-04 22:50:22.428000+05:30
1693847641281,29.6,{},2023-09-04 22:44:01.281000+05:30
1693847260530,29.5,{},2023-09-04 22:37:40.530000+05:30
1693846495993,29.700001,{},2023-09-04 22:24:55.993000+05:30
1693846113809,29.6,{},2023-09-04 22:18:33.809000+05:30
1693845732514,29.6,{},2023-09-04 22:12:12.514000+05:30
1693845351626,29.799999,{},2023-09-04 22:05:51.626000+05:30
1693844968903,29.700001,{},2023-09-04 21:59:28.903000+05:30
1693844586816,29.799999,{},2023-09-04 21:53:06.816000+05:30
